Configuration of this run:
Namespace(atmosphere='/Users/jonesb/Documents/Work/SolarAtmosphere/SolarAtmosphereApprox4.csv', bvalues=[0.0], dens_divs=500, dens_index=2, outputpath='/Users/jonesb/Documents/Work/SolarAtmosphere/Outputs', runname='Atmos4')
Running test point 0 output to /Users/jonesb/Documents/Work/SolarAtmosphere/Outputs/Atmos4_b0.0000
********************* List of materials *************************
-----------------------------------------------------------------
no  | name            | start [m] | end [m]   | density [g/cm**3]
-----------------------------------------------------------------
 0  | air             |   0.000   |   0.000   | 0.00122 
 1  | Layer0          |   0.000   |  297.199  | 0.00000 
 2  | Layer1          |  297.199  | 59794.854 | 0.00000 
 3  | Layer2          | 59794.854 | 119173.157 | 0.00000 
 4  | Layer3          | 119173.157 | 178432.108 | 0.00000 
 5  | Layer4          | 178432.108 | 237571.707 | 0.00000 
 6  | Layer5          | 237571.707 | 296591.954 | 0.00000 
 7  | Layer6          | 296591.954 | 355492.848 | 0.00000 
 8  | Layer7          | 355492.848 | 414274.391 | 0.00000 
 9  | Layer8          | 414274.391 | 472936.581 | 0.00000 
10  | Layer9          | 472936.581 | 531479.419 | 0.00000 
11  | Layer10         | 531479.419 | 589902.904 | 0.00000 
12  | Layer11         | 589902.904 | 648207.038 | 0.00000 
13  | Layer12         | 648207.038 | 706391.820 | 0.00000 
14  | Layer13         | 706391.820 | 764457.249 | 0.00000 
15  | Layer14         | 764457.249 | 822403.326 | 0.00000 
16  | Layer15         | 822403.326 | 880230.051 | 0.00000 
17  | Layer16         | 880230.051 | 937937.424 | 0.00000 
18  | Layer17         | 937937.424 | 995525.444 | 0.00000 
19  | Layer18         | 995525.444 | 1052994.113 | 0.00000 
20  | Layer19         | 1052994.113 | 1110343.429 | 0.00000 
21  | Layer20         | 1110343.429 | 1167573.393 | 0.00000 
22  | Layer21         | 1167573.393 | 1224684.005 | 0.00000 
23  | Layer22         | 1224684.005 | 1281675.264 | 0.00000 
24  | Layer23         | 1281675.264 | 1338547.172 | 0.00000 
25  | Layer24         | 1338547.172 | 1395299.727 | 0.00000 
26  | Layer25         | 1395299.727 | 1451932.930 | 0.00000 
27  | Layer26         | 1451932.930 | 1508446.781 | 0.00000 
28  | Layer27         | 1508446.781 | 1564841.280 | 0.00000 
29  | Layer28         | 1564841.280 | 1621116.427 | 0.00000 
30  | Layer29         | 1621116.427 | 1677272.221 | 0.00000 
31  | Layer30         | 1677272.221 | 1733308.663 | 0.00000 
32  | Layer31         | 1733308.663 | 1789225.754 | 0.00000 
33  | Layer32         | 1789225.754 | 1845023.492 | 0.00000 
34  | Layer33         | 1845023.492 | 1900701.877 | 0.00000 
35  | Layer34         | 1900701.877 | 1956260.911 | 0.00000 
36  | Layer35         | 1956260.911 | 2011700.592 | 0.00000 
37  | Layer36         | 2011700.592 | 2067020.921 | 0.00000 
38  | Layer37         | 2067020.921 | 2122221.899 | 0.00000 
39  | Layer38         | 2122221.899 | 2177303.523 | 0.00000 
40  | Layer39         | 2177303.523 | 2232265.796 | 0.00000 
41  | Layer40         | 2232265.796 | 2287108.717 | 0.00000 
42  | Layer41         | 2287108.717 | 2341832.285 | 0.00000 
43  | Layer42         | 2341832.285 | 2396436.501 | 0.00000 
44  | Layer43         | 2396436.501 | 2450921.365 | 0.00000 
45  | Layer44         | 2450921.365 | 2505286.877 | 0.00000 
46  | Layer45         | 2505286.877 | 2559533.037 | 0.00006 
47  | Layer46         | 2559533.037 | 2613659.844 | 0.00006 
48  | Layer47         | 2613659.844 | 2667667.299 | 0.00006 
49  | Layer48         | 2667667.299 | 2721555.402 | 0.00007 
50  | Layer49         | 2721555.402 | 2775324.153 | 0.00007 
51  | Layer50         | 2775324.153 | 2828973.552 | 0.00007 
52  | Layer51         | 2828973.552 | 2882503.599 | 0.00007 
53  | Layer52         | 2882503.599 | 2935914.293 | 0.00007 
54  | Layer53         | 2935914.293 | 2989205.635 | 0.00007 
55  | Layer54         | 2989205.635 | 3042377.625 | 0.00007 
56  | Layer55         | 3042377.625 | 3095430.263 | 0.00007 
57  | Layer56         | 3095430.263 | 3148363.549 | 0.00007 
58  | Layer57         | 3148363.549 | 3201177.482 | 0.00007 
59  | Layer58         | 3201177.482 | 3253872.064 | 0.00007 
60  | Layer59         | 3253872.064 | 3306447.293 | 0.00007 
61  | Layer60         | 3306447.293 | 3358903.170 | 0.00008 
62  | Layer61         | 3358903.170 | 3411239.695 | 0.00008 
63  | Layer62         | 3411239.695 | 3463456.867 | 0.00008 
64  | Layer63         | 3463456.867 | 3515554.688 | 0.00008 
65  | Layer64         | 3515554.688 | 3567533.156 | 0.00008 
66  | Layer65         | 3567533.156 | 3619392.272 | 0.00008 
67  | Layer66         | 3619392.272 | 3671132.036 | 0.00008 
68  | Layer67         | 3671132.036 | 3722752.448 | 0.00008 
69  | Layer68         | 3722752.448 | 3774253.508 | 0.00008 
70  | Layer69         | 3774253.508 | 3825635.215 | 0.00008 
71  | Layer70         | 3825635.215 | 3876897.570 | 0.00009 
72  | Layer71         | 3876897.570 | 3928040.573 | 0.00009 
73  | Layer72         | 3928040.573 | 3979064.224 | 0.00009 
74  | Layer73         | 3979064.224 | 4029968.523 | 0.00009 
75  | Layer74         | 4029968.523 | 4080753.469 | 0.00009 
76  | Layer75         | 4080753.469 | 4131419.064 | 0.00009 
77  | Layer76         | 4131419.064 | 4181965.306 | 0.00009 
78  | Layer77         | 4181965.306 | 4232392.196 | 0.00009 
79  | Layer78         | 4232392.196 | 4282699.734 | 0.00009 
80  | Layer79         | 4282699.734 | 4332887.919 | 0.00009 
81  | Layer80         | 4332887.919 | 4382956.753 | 0.00010 
82  | Layer81         | 4382956.753 | 4432906.234 | 0.00010 
83  | Layer82         | 4432906.234 | 4482736.363 | 0.00010 
84  | Layer83         | 4482736.363 | 4532447.140 | 0.00010 
85  | Layer84         | 4532447.140 | 4582038.565 | 0.00010 
86  | Layer85         | 4582038.565 | 4631510.638 | 0.00010 
87  | Layer86         | 4631510.638 | 4680863.358 | 0.00010 
88  | Layer87         | 4680863.358 | 4730096.726 | 0.00010 
89  | Layer88         | 4730096.726 | 4779210.742 | 0.00010 
90  | Layer89         | 4779210.742 | 4828205.406 | 0.00011 
91  | Layer90         | 4828205.406 | 4877080.718 | 0.00011 
92  | Layer91         | 4877080.718 | 4925836.677 | 0.00011 
93  | Layer92         | 4925836.677 | 4974473.285 | 0.00011 
94  | Layer93         | 4974473.285 | 5022990.540 | 0.00011 
95  | Layer94         | 5022990.540 | 5071388.443 | 0.00011 
96  | Layer95         | 5071388.443 | 5119666.994 | 0.00011 
