Configuration of this run:
Namespace(atmosphere='/Users/jonesb/Documents/Work/SolarAtmosphere/SolarAtmosphereCut.csv', bvalues=[0.0], dens_divs=500, dens_index=2, outputpath='/Users/jonesb/Documents/Work/SolarAtmosphere/Outputs', runname='GwenAtmOnly')
Running test point 0 output to /Users/jonesb/Documents/Work/SolarAtmosphere/Outputs/GwenAtmOnly_b0.0000
********************* List of materials *************************
-----------------------------------------------------------------
no  | name            | start [m] | end [m]   | density [g/cm**3]
-----------------------------------------------------------------
 0  | air             |   0.000   |   0.000   | 0.00122 
 1  | Layer0          |   0.000   |  49.454   | 0.00000 
 2  | Layer1          |  49.454   | 9949.848  | 0.00000 
 3  | Layer2          | 9949.848  | 19830.381 | 0.00000 
 4  | Layer3          | 19830.381 | 29691.055 | 0.00000 
 5  | Layer4          | 29691.055 | 39531.868 | 0.00000 
 6  | Layer5          | 39531.868 | 49352.821 | 0.00000 
 7  | Layer6          | 49352.821 | 59153.914 | 0.00000 
 8  | Layer7          | 59153.914 | 68935.147 | 0.00000 
 9  | Layer8          | 68935.147 | 78696.520 | 0.00000 
10  | Layer9          | 78696.520 | 88438.032 | 0.00000 
11  | Layer10         | 88438.032 | 98159.685 | 0.00000 
12  | Layer11         | 98159.685 | 107861.477 | 0.00000 
13  | Layer12         | 107861.477 | 117543.409 | 0.00000 
14  | Layer13         | 117543.409 | 127205.480 | 0.00000 
15  | Layer14         | 127205.480 | 136847.692 | 0.00000 
16  | Layer15         | 136847.692 | 146470.044 | 0.00000 
17  | Layer16         | 146470.044 | 156072.535 | 0.00000 
18  | Layer17         | 156072.535 | 165655.166 | 0.00000 
19  | Layer18         | 165655.166 | 175217.937 | 0.00000 
20  | Layer19         | 175217.937 | 184760.848 | 0.00000 
21  | Layer20         | 184760.848 | 194283.898 | 0.00000 
22  | Layer21         | 194283.898 | 203787.089 | 0.00000 
23  | Layer22         | 203787.089 | 213270.419 | 0.00000 
24  | Layer23         | 213270.419 | 222733.889 | 0.00000 
25  | Layer24         | 222733.889 | 232177.499 | 0.00000 
26  | Layer25         | 232177.499 | 241601.249 | 0.00000 
27  | Layer26         | 241601.249 | 251005.138 | 0.00000 
28  | Layer27         | 251005.138 | 260389.168 | 0.00000 
29  | Layer28         | 260389.168 | 269753.337 | 0.00000 
30  | Layer29         | 269753.337 | 279097.646 | 0.00000 
31  | Layer30         | 279097.646 | 288422.095 | 0.00000 
32  | Layer31         | 288422.095 | 297726.684 | 0.00000 
33  | Layer32         | 297726.684 | 307011.412 | 0.00000 
34  | Layer33         | 307011.412 | 316276.281 | 0.00000 
35  | Layer34         | 316276.281 | 325521.289 | 0.00000 
36  | Layer35         | 325521.289 | 334746.437 | 0.00000 
37  | Layer36         | 334746.437 | 343951.725 | 0.00000 
38  | Layer37         | 343951.725 | 353137.153 | 0.00000 
39  | Layer38         | 353137.153 | 362302.720 | 0.00000 
40  | Layer39         | 362302.720 | 371448.428 | 0.00000 
41  | Layer40         | 371448.428 | 380574.275 | 0.00000 
42  | Layer41         | 380574.275 | 389680.262 | 0.00000 
43  | Layer42         | 389680.262 | 398766.389 | 0.00000 
44  | Layer43         | 398766.389 | 407832.655 | 0.00000 
45  | Layer44         | 407832.655 | 416879.062 | 0.00000 
46  | Layer45         | 416879.062 | 425905.608 | 0.00000 
47  | Layer46         | 425905.608 | 434912.294 | 0.00000 
48  | Layer47         | 434912.294 | 443899.121 | 0.00000 
49  | Layer48         | 443899.121 | 452866.086 | 0.00000 
50  | Layer49         | 452866.086 | 461813.192 | 0.00000 
51  | Layer50         | 461813.192 | 470740.438 | 0.00000 
52  | Layer51         | 470740.438 | 479647.823 | 0.00000 
53  | Layer52         | 479647.823 | 488535.348 | 0.00000 
54  | Layer53         | 488535.348 | 497403.013 | 0.00000 
55  | Layer54         | 497403.013 | 506250.818 | 0.00000 
56  | Layer55         | 506250.818 | 515078.763 | 0.00000 
57  | Layer56         | 515078.763 | 523886.847 | 0.00000 
58  | Layer57         | 523886.847 | 532675.071 | 0.00000 
59  | Layer58         | 532675.071 | 541443.436 | 0.00000 
60  | Layer59         | 541443.436 | 550191.940 | 0.00000 
61  | Layer60         | 550191.940 | 558920.583 | 0.00000 
62  | Layer61         | 558920.583 | 567629.367 | 0.00000 
63  | Layer62         | 567629.367 | 576318.290 | 0.00000 
64  | Layer63         | 576318.290 | 584987.354 | 0.00000 
65  | Layer64         | 584987.354 | 593636.557 | 0.00000 
66  | Layer65         | 593636.557 | 602265.900 | 0.00000 
67  | Layer66         | 602265.900 | 610875.383 | 0.00000 
68  | Layer67         | 610875.383 | 619465.005 | 0.00000 
69  | Layer68         | 619465.005 | 628034.768 | 0.00000 
70  | Layer69         | 628034.768 | 636584.670 | 0.00000 
71  | Layer70         | 636584.670 | 645114.712 | 0.00000 
72  | Layer71         | 645114.712 | 653624.894 | 0.00000 
73  | Layer72         | 653624.894 | 662115.216 | 0.00000 
74  | Layer73         | 662115.216 | 670585.677 | 0.00000 
75  | Layer74         | 670585.677 | 679036.279 | 0.00000 
76  | Layer75         | 679036.279 | 687467.020 | 0.00000 
77  | Layer76         | 687467.020 | 695877.901 | 0.00000 
78  | Layer77         | 695877.901 | 704268.922 | 0.00000 
79  | Layer78         | 704268.922 | 712640.083 | 0.00000 
80  | Layer79         | 712640.083 | 720991.383 | 0.00000 
81  | Layer80         | 720991.383 | 729322.824 | 0.00000 
82  | Layer81         | 729322.824 | 737634.404 | 0.00000 
83  | Layer82         | 737634.404 | 745926.124 | 0.00000 
84  | Layer83         | 745926.124 | 754197.984 | 0.00000 
85  | Layer84         | 754197.984 | 762449.984 | 0.00000 
86  | Layer85         | 762449.984 | 770682.123 | 0.00000 
87  | Layer86         | 770682.123 | 778894.403 | 0.00000 
88  | Layer87         | 778894.403 | 787086.822 | 0.00000 
89  | Layer88         | 787086.822 | 795259.381 | 0.00000 
90  | Layer89         | 795259.381 | 803412.080 | 0.00000 
91  | Layer90         | 803412.080 | 811544.919 | 0.00000 
92  | Layer91         | 811544.919 | 819657.897 | 0.00000 
93  | Layer92         | 819657.897 | 827751.016 | 0.00000 
94  | Layer93         | 827751.016 | 835824.274 | 0.00000 
95  | Layer94         | 835824.274 | 843877.672 | 0.00000 
96  | Layer95         | 843877.672 | 851911.210 | 0.00000 
97  | Layer96         | 851911.210 | 859924.887 | 0.00000 
98  | Layer97         | 859924.887 | 867918.705 | 0.00000 
99  | Layer98         | 867918.705 | 875892.662 | 0.00000 
100 | Layer99         | 875892.662 | 883846.759 | 0.00000 
101 | Layer100        | 883846.759 | 891780.996 | 0.00000 
