Configuration of this run:
Namespace(atmosphere='/Users/jonesb/Documents/Work/SolarAtmosphere/IngelmanThurmanAtmosphere.csv', bvalues=[0.0], dens_divs=500, dens_index=2, outputpath='/Users/jonesb/Documents/Work/SolarAtmosphere/Outputs', runname='IngelThurm')
Running test point 0 output to /Users/jonesb/Documents/Work/SolarAtmosphere/Outputs/IngelThurm_b0.0000
********************* List of materials *************************
-----------------------------------------------------------------
no  | name            | start [m] | end [m]   | density [g/cm**3]
-----------------------------------------------------------------
 0  | air             |   0.000   |   0.000   | 0.00122 
 1  | Layer0          |   0.000   |  309.998  | 0.00000 
 2  | Layer1          |  309.998  | 62370.137 | 0.00000 
 3  | Layer2          | 62370.137 | 124305.783 | 0.00000 
 4  | Layer3          | 124305.783 | 186116.936 | 0.00000 
 5  | Layer4          | 186116.936 | 247803.597 | 0.00000 
 6  | Layer5          | 247803.597 | 309365.766 | 0.00000 
 7  | Layer6          | 309365.766 | 370803.442 | 0.00000 
 8  | Layer7          | 370803.442 | 432116.625 | 0.00000 
 9  | Layer8          | 432116.625 | 493305.316 | 0.00000 
10  | Layer9          | 493305.316 | 554369.515 | 0.00000 
11  | Layer10         | 554369.515 | 615309.221 | 0.00000 
12  | Layer11         | 615309.221 | 676124.434 | 0.00000 
13  | Layer12         | 676124.434 | 736815.155 | 0.00000 
14  | Layer13         | 736815.155 | 797381.383 | 0.00000 
15  | Layer14         | 797381.383 | 857823.119 | 0.00000 
16  | Layer15         | 857823.119 | 918140.363 | 0.00000 
17  | Layer16         | 918140.363 | 978333.113 | 0.00000 
18  | Layer17         | 978333.113 | 1038401.372 | 0.00000 
19  | Layer18         | 1038401.372 | 1098345.138 | 0.00000 
20  | Layer19         | 1098345.138 | 1158164.411 | 0.00000 
21  | Layer20         | 1158164.411 | 1217859.192 | 0.00000 
22  | Layer21         | 1217859.192 | 1277429.480 | 0.00000 
23  | Layer22         | 1277429.480 | 1336875.276 | 0.00000 
24  | Layer23         | 1336875.276 | 1396196.579 | 0.00000 
25  | Layer24         | 1396196.579 | 1455393.390 | 0.00000 
26  | Layer25         | 1455393.390 | 1514465.708 | 0.00000 
27  | Layer26         | 1514465.708 | 1573413.534 | 0.00000 
28  | Layer27         | 1573413.534 | 1632236.867 | 0.00000 
29  | Layer28         | 1632236.867 | 1690935.708 | 0.00000 
30  | Layer29         | 1690935.708 | 1749510.056 | 0.00000 
31  | Layer30         | 1749510.056 | 1807959.911 | 0.00000 
32  | Layer31         | 1807959.911 | 1866285.275 | 0.00000 
33  | Layer32         | 1866285.275 | 1924486.145 | 0.00001 
34  | Layer33         | 1924486.145 | 1982562.523 | 0.00001 
35  | Layer34         | 1982562.523 | 2040514.409 | 0.00001 
36  | Layer35         | 2040514.409 | 2098341.802 | 0.00001 
37  | Layer36         | 2098341.802 | 2156044.703 | 0.00001 
38  | Layer37         | 2156044.703 | 2213623.111 | 0.00001 
39  | Layer38         | 2213623.111 | 2271077.026 | 0.00001 
40  | Layer39         | 2271077.026 | 2328406.449 | 0.00001 
41  | Layer40         | 2328406.449 | 2385611.380 | 0.00001 
42  | Layer41         | 2385611.380 | 2442691.818 | 0.00001 
43  | Layer42         | 2442691.818 | 2499647.764 | 0.00001 
44  | Layer43         | 2499647.764 | 2556479.217 | 0.00001 
45  | Layer44         | 2556479.217 | 2613186.177 | 0.00001 
46  | Layer45         | 2613186.177 | 2669768.645 | 0.00001 
47  | Layer46         | 2669768.645 | 2726226.621 | 0.00001 
48  | Layer47         | 2726226.621 | 2782560.104 | 0.00001 
49  | Layer48         | 2782560.104 | 2838769.094 | 0.00001 
50  | Layer49         | 2838769.094 | 2894853.592 | 0.00001 
51  | Layer50         | 2894853.592 | 2950813.597 | 0.00001 
52  | Layer51         | 2950813.597 | 3006649.110 | 0.00001 
53  | Layer52         | 3006649.110 | 3062360.131 | 0.00001 
54  | Layer53         | 3062360.131 | 3117946.659 | 0.00001 
55  | Layer54         | 3117946.659 | 3173408.694 | 0.00001 
56  | Layer55         | 3173408.694 | 3228746.237 | 0.00001 
57  | Layer56         | 3228746.237 | 3283959.287 | 0.00001 
58  | Layer57         | 3283959.287 | 3339047.845 | 0.00001 
59  | Layer58         | 3339047.845 | 3394011.910 | 0.00001 
60  | Layer59         | 3394011.910 | 3448851.483 | 0.00001 
61  | Layer60         | 3448851.483 | 3503566.564 | 0.00001 
62  | Layer61         | 3503566.564 | 3558157.151 | 0.00002 
63  | Layer62         | 3558157.151 | 3612623.247 | 0.00002 
64  | Layer63         | 3612623.247 | 3666964.849 | 0.00002 
65  | Layer64         | 3666964.849 | 3721181.960 | 0.00002 
66  | Layer65         | 3721181.960 | 3775274.577 | 0.00002 
67  | Layer66         | 3775274.577 | 3829242.703 | 0.00002 
68  | Layer67         | 3829242.703 | 3883086.335 | 0.00002 
69  | Layer68         | 3883086.335 | 3936805.476 | 0.00002 
70  | Layer69         | 3936805.476 | 3990400.123 | 0.00002 
71  | Layer70         | 3990400.123 | 4043870.278 | 0.00002 
72  | Layer71         | 4043870.278 | 4097215.941 | 0.00002 
73  | Layer72         | 4097215.941 | 4150437.111 | 0.00002 
74  | Layer73         | 4150437.111 | 4203533.789 | 0.00002 
75  | Layer74         | 4203533.789 | 4256505.974 | 0.00002 
76  | Layer75         | 4256505.974 | 4309353.667 | 0.00002 
77  | Layer76         | 4309353.667 | 4362076.867 | 0.00002 
78  | Layer77         | 4362076.867 | 4414675.574 | 0.00002 
79  | Layer78         | 4414675.574 | 4467149.790 | 0.00002 
80  | Layer79         | 4467149.790 | 4519499.512 | 0.00002 
81  | Layer80         | 4519499.512 | 4571724.742 | 0.00002 
82  | Layer81         | 4571724.742 | 4623825.480 | 0.00002 
83  | Layer82         | 4623825.480 | 4675801.725 | 0.00002 
84  | Layer83         | 4675801.725 | 4727653.477 | 0.00002 
85  | Layer84         | 4727653.477 | 4779380.737 | 0.00002 
86  | Layer85         | 4779380.737 | 4830983.505 | 0.00002 
87  | Layer86         | 4830983.505 | 4882461.780 | 0.00002 
88  | Layer87         | 4882461.780 | 4933815.562 | 0.00002 
89  | Layer88         | 4933815.562 | 4985044.852 | 0.00002 
90  | Layer89         | 4985044.852 | 5036149.650 | 0.00003 
91  | Layer90         | 5036149.650 | 5087129.955 | 0.00003 
92  | Layer91         | 5087129.955 | 5137985.767 | 0.00003 
93  | Layer92         | 5137985.767 | 5188717.087 | 0.00003 
94  | Layer93         | 5188717.087 | 5239323.914 | 0.00003 
95  | Layer94         | 5239323.914 | 5289806.249 | 0.00003 
96  | Layer95         | 5289806.249 | 5340164.092 | 0.00003 
